iter	Passed	Remaining
878	6649	915
879	6651	907
880	6654	898
881	6656	890
882	6659	882
883	6662	874
884	6665	866
885	6668	857
886	6671	849
887	6673	841
888	6675	833
889	6679	825
890	6682	817
891	6686	809
892	6689	801
893	6692	793
894	6696	785
895	6699	777
896	6701	769
897	6704	761
898	6706	753
899	6710	745
900	6713	737
901	6716	729
902	6718	721
903	6720	713
904	6724	705
905	6727	698
906	6730	690
907	6732	682
908	6734	674
909	6736	666
910	6742	658
911	6745	650
912	6747	643
913	6750	635
914	6752	627
915	6756	619
916	6759	611
917	6762	604
918	6764	596
919	6767	588
920	6771	580
921	6774	573
922	6777	565
923	6779	557
924	6782	549
925	6784	542
926	6787	534
927	6790	526
928	6793	519
929	6795	511
930	6798	503
931	6802	496
932	6805	488
933	6808	481
934	6810	473
935	6813	465
936	6816	458
937	6819	450
938	6822	443
939	6825	435
940	6827	428
941	6830	420
942	6833	413
943	6835	405
944	6838	397
945	6841	390
946	6844	383
947	6847	375
948	6851	368
949	6854	360
950	6857	353
951	6860	345
952	6864	338
953	6867	331
954	6869	323
955	6871	316
956	6874	308
957	6879	301
958	6884	294
959	6887	286
960	6889	279
961	6891	272
962	6896	264
963	6899	257
964	6901	250
965	6903	242
966	6906	235
967	6909	228
968	6912	221
969	6915	213
970	6917	206
971	6920	199
972	6922	192
973	6929	184
974	6932	177
975	6934	170
976	6936	163
977	6939	156
978	6943	148
979	6946	141
980	6948	134
981	6950	127
982	6953	120
983	6957	113
984	6960	105
985	6962	98
986	6965	91
987	6967	84
988	6971	77
989	6975	70
990	6977	63
991	6980	56
992	6982	49
993	6985	42
994	6988	35
995	6991	28
996	6994	21
997	6996	14
998	6998	7
999	7002	0
